Manufacturer,Registrations,Date,Category
ELTHOR ENERGY PRIVATE LIMITED,203,2024-01-01,TWO WHEELER
ENGTIAN ELECTRIC BIKE PVT LTD,458,2024-01-01,TWO WHEELER
ENIGMA AUTOMOBILES PVT LTD,16,2024-01-01,TWO WHEELER
E ROYCE MOTORS INDIA PVT LTD,1,2024-01-01,TWO WHEELER
ESCORTS CONSTRUCTION EQUIPMENT LTD,3,2024-01-01,TWO WHEELER
ESCORTS R&D CENTRE,3,2024-01-01,TWO WHEELER
E-SPRINTO GREEN ENERGY PVT LTD,882,2024-01-01,TWO WHEELER
ESSEL ENERGY INFRA PVT LTD,3,2024-01-01,TWO WHEELER
EVTRIC MOTORS PVT LTD,135,2024-01-01,TWO WHEELER
EXERVAL PVT LTD,14,2024-01-01,TWO WHEELER
FIADO INDUSTRIES PVT LTD,60,2024-01-01,TWO WHEELER
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),22,2024-01-01,TWO WHEELER
FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),2,2024-01-01,TWO WHEELER
FUJIYAMA POWER INFRA PVT. LTD.,101,2024-01-01,TWO WHEELER
GAURA ELECTRIC VEHICLES PVT LTD,437,2024-01-01,TWO WHEELER
GODAWARI ELECTRIC MOTORS PVT LTD,750,2024-01-01,TWO WHEELER
GOGORO INDIA PVT LTD,115,2024-01-01,TWO WHEELER
GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,2024-01-01,TWO WHEELER
GOREEN E-MOBILITY PVT LTD,1372,2024-01-01,TWO WHEELER
GREAVES ELECTRIC MOBILITY PVT LTD,35059,2024-01-01,TWO WHEELER
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),136,2024-01-01,TWO WHEELER
GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),14,2024-01-01,TWO WHEELER
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),246,2024-01-01,TWO WHEELER
H-D MOTOR COMPANY INDIA PVT LTD,3,2024-01-01,TWO WHEELER
HERO ELECTRIC VEHICLE PVT LTD,1,2024-01-01,TWO WHEELER
HERO ELECTRIC VEHICLES PVT. LTD,2916,2024-01-01,TWO WHEELER
HERO HONDA MOTORS LTD,69,2024-01-01,TWO WHEELER
HERO MOTOCORP LTD,5494904,2024-01-01,TWO WHEELER
HOMFEEL VEGH AUTOMOBILES PVT LTD,8,2024-01-01,TWO WHEELER
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,4801238,2024-01-01,TWO WHEELER
HONGKONG WANGYUAN (IMPORTER:POWERTRANS MOBILITY),1,2024-01-01,TWO WHEELER
HONGKONG YIXING (IMPORTER: ADMS MARKETING),318,2024-01-01,TWO WHEELER
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),4,2024-01-01,TWO WHEELER
HOP ELECTRIC MOBILITY PVT LTD,355,2024-01-01,TWO WHEELER
HOUSTAN INNOVATION LLP,5,2024-01-01,TWO WHEELER
HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),1,2024-01-01,TWO WHEELER
IDEAL JAWA INDIA PVT LTD,2,2024-01-01,TWO WHEELER
IGOWISE MOBILITY PVT LTD,9,2024-01-01,TWO WHEELER
INDIA KAWASAKI MOTORS PVT LTD,3727,2024-01-01,TWO WHEELER
INDIA YAMAHA MOTOR PVT LTD,661054,2024-01-01,TWO WHEELER
IRA EDUTECH PVT LTD,11,2024-01-01,TWO WHEELER
IVOOMI INNOVATION PVT LTD,1115,2024-01-01,TWO WHEELER
IZANAU ELECTRIC LLP,24,2024-01-01,TWO WHEELER
JEEVAA E-BIKE MFG PVT LTD,5,2024-01-01,TWO WHEELER
